n,insufficient,mean_bps,median_bps,baseline_mean_bps,prob_positive,prob_negative,mean_positive_bps,mean_negative_bps,mean_abs_bps,p5_bps,p95_bps,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,threshold_pctile,horizon_bars
37579,False,0.30099962237914374,0.8494823466942414,0.16775094982013813,0.5241225152345725,0.4758774847654275,15.220846322199739,-16.13143904001903,15.654176894401298,-36.42307496358321,33.827005619019076,1.0068976541076724,0.3139904428184301,NQ,discovery,0.7,5
31554,False,0.28295089140477864,0.8603205430379735,0.16775094982013813,0.523293401787412,0.47670659821258793,15.899220442512743,-16.859439936137747,16.35696341085613,-37.890411735713336,35.192555709024006,0.7775881880972464,0.4368176566739045,NQ,discovery,0.75,5
25747,False,0.4004936218807793,0.9745216722789607,0.16775094982013813,0.5246436478036276,0.4753563521963724,16.49175903405173,-17.359193704502516,16.904099614765876,-38.82164990765025,36.058938214423186,1.421729841962558,0.15511680657073545,NQ,discovery,0.8,5
19718,False,0.407378027348121,1.063070457327786,0.16775094982013813,0.5251039659194644,0.47489603408053555,17.270559616219188,-18.238647407420252,17.73030066890236,-40.1990251641915,37.51454969510313,1.2302207764385242,0.21862911901396712,NQ,discovery,0.85,5
13831,False,0.5110862852962089,1.1612918210213152,0.16775094982013813,0.5251970211842961,0.4748029788157039,18.391127827043398,-19.266684654136043,18.806844816669415,-41.79603336020077,39.47295716006827,1.3824056281895343,0.166869512154632,NQ,discovery,0.9,5
7480,False,0.054852190304014885,1.1894771043408081,0.16775094982013813,0.5228609625668449,0.47713903743315506,19.371985843022927,-21.113348906861486,20.202858139124505,-45.6655290230768,41.553500557541554,-0.31096345193013347,0.7558370724144401,NQ,discovery,0.95,5
4280,False,0.19988464803375167,1.2185017608479232,0.16775094982013813,0.522196261682243,0.477803738317757,21.006211706816195,-22.539548592249258,21.73884580277662,-49.86534716102687,43.73961005706101,0.06058956853204722,0.9516889109156103,NQ,discovery,0.975,5
37574,False,0.590900157092061,1.477810056591533,0.3352156255953169,0.5273859583754724,0.4726140416245276,21.452737663850858,-22.688645514376137,22.03684506816309,-50.717754414440485,47.170005822933604,1.3893554013654594,0.16473293807877146,NQ,discovery,0.7,10
31549,False,0.5726643235527482,1.5190642564189005,0.3352156255953169,0.5269263685061333,0.47307363149386666,22.15096924539901,-23.462025192076887,22.77119524318555,-51.98640004462107,48.56908623221388,1.1788686302923417,0.2384593815669277,NQ,discovery,0.75,10
25747,False,0.6683990316259373,1.6000426678042245,0.3352156255953169,0.5275177690604731,0.47248223093952696,22.763357239279713,-24.0002176865289,23.34775182275687,-53.31082328309178,49.75594902029956,1.5023121883926926,0.13302876681193881,NQ,discovery,0.8,10
19718,False,0.6660403532244996,1.8479953133632154,0.3352156255953169,0.5296176082767015,0.4703823917232985,23.521378272286228,-25.06746842184414,24.248631854655113,-55.57693821631166,50.78178853242187,1.270330081660067,0.20398206688094594,NQ,discovery,0.85,10
13831,False,0.8256144187249321,2.0615156262882017,0.3352156255953169,0.5324994577398597,0.46750054226014026,24.461580265787838,-26.096576806703197,25.225942035259223,-57.498289839631454,52.34571703666702,1.5216776121493483,0.12811274216502808,NQ,discovery,0.9,10
7480,False,0.6363921960256295,2.102137620255684,0.3352156255953169,0.5315508021390374,0.46844919786096256,25.791797727481775,-27.907526865923465,26.78290934527585,-60.75649498179441,55.06371465433575,0.6492200425579225,0.5162160945958942,NQ,discovery,0.95,10
4280,False,0.7704688176708435,2.681500180556906,0.3352156255953169,0.5352803738317757,0.4647196261682243,27.534868266655707,-30.05770571104928,28.707280340697487,-64.01053529046975,58.10106927243836,0.6588279475310267,0.5100417075245927,NQ,discovery,0.975,10
